Comment,polarity,severity,reasons,quoted_spans,brief
you missed a feature on the airbolt instead of using the big part of the loop to lock your zippers lock the zippers on the loop where the 2 notches are that way you cant open the bag 3 inches,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i wasn’t prepared for the immediate start lol,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the whole idea of the interchangeable battery to keep going of the steel series is exactly the reason why xbox still uses aa batteries for their controllers i think is in an undervalued decision from xbox,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
in my experience burnout comes from realizing that improved performance doesnt produce improved rewards it produces more work the response to a job well done is never a couple days off or a timely bonus instead good work is rewarded with the demand for twice as much work in the same amount of time firms see young workers as a productivity sponge to be squeezed for all its worth young people are almost never treated as the companys future,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i am 50 years old working in the high tech industry mentally tired and sick of the weekly 8 to 5 routine never got a proper day off even through the pandemic hats off to the millenials and genz that think differently and put more weight on living rather than just working,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i think the pandemic has taught people the importance of multiple streams of income unfortunately having a job doesn’t mean security,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i worked a low paying tech job for six years and still felt the burn out the problem is that tech is very fast paced and competition focused you can barely keep up though i got promoted regularly my higher ups told me the truth before they left they said that i was severely underpaid based on my skills essentially i branded myself a one stop shop for the marketing department as i am both technically knowledgeable people oriented and strategic i maxed out at 50k so i decided to jump ship with little planned now i run a financial agency with my husband and we make 250k a year as entrepreneurs and we have the freedom to set our own lifestyle,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
those window breakers seems like an easy way to rob someone’s car,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
damn the mueral canvas is nice too pricey,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
if you could limit your products to things that are available retail it would be awesome kickstarter and indiegogo etc dont count too many scams and failed products and no protections,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
that motion alarm for protecting your laptop makes me laugh if you are taking a break away from your workplace do you really think that the alarm feature would deter a thief from simply knocking the device to the floor pick up the laptop and perhaps step on the alarm and crush it in a moment of disdain by the time you get back with your latte after your phone notifies you of your impending bad luck your laptop will be off on an extended trip,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the trene control alarm will not deter someone who really wants it they will just knock that gadget off and run with your property,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i spent hours researching dash cams a year or so ago and it’s almost maddening how awful sparse and misrepresented information on dash cams is i was totally surprised how under developed they are this is a video that is really necessary,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
when i went looking for a dashcam my main criteria was that it has a super cap instead of a battery cause i really dont think the batteries would handle the 20 to 30c temps in winter and the exact opposite in the summer along with however much the sun heats up the interior i know you can take them off but i kinda wanted an install and forget about it kind of system for actual performance its much better to just find someone elses footage cause the resolution and other specs are very misleading unless you really know your camera sensor specs,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i had my suspicions about this for a long time thank you for finally calling this issue out it sounds like theres a hole in the market for a truly high quality dashcam thats not chinese crap hopefully some tech company sees this and swoops in im tired of all these countless trash brands on amazon with unpronounceable names,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
ive been wanting to make this video for such a long time that royole display was just so hard to get hold of by holy cow was it worth it to check out my other ridiculous tech unboxings,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
reminder do not fall for the fake telegram and whatsapp accounts trying to have you claim a prize through texting them its fake and a scam i personally contact the winners through my official account only,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
teachers there are no stupid questions wolfgang puck well tracey thats a stupid question,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the price of todays bikes is absolutely bonkers doesnt make any sense whatsoever if you compare it to motorcycles or even cars,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the price of the roadgoing kawasaki really tells how overpriced the push bikes are,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
as a lapsed superbike obsessive it always bothered me hearing gcn call top road bikes superbikes now i mostly watch cycling and im used to it,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
oppo did oneplus so dirty  heart breaks for oneplus fans rip oxygen os and oneplus,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
man oneplus is in the wrong direction after carl pei left from flagship killer to forgettable company,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
lots of profit negative tech startup companies with an over abundant of overpaid employees…honestly who hasn’t seen this coming,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
what slowdown lol it was abnormally fast and now with the recession vcs realized many of these startups aren’t profitable so they laid off people the big ones are still hiring and tech adoption isn’t nearly as much for it to slow down anytime soon,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
slow hirings may be caused by a rapid rising labor cost in hi tech ind,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
thats really a problem with service economy most tech companies dont even produce a nail they do things that are intangible you cay easily live without them if netflix goes down i am sure there will not be any catastrophic event if some manufacturing companies goes down lets say the one that makes baby formula it could trigger a panic,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
it still blows my mind that companies have entire teams deciding whether or not a flavor is going to appeal to the masses and yet somehow swedish fish flavored oreos were still greenlit,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
when i was a kid in kindergarten we did an experiment with that old fake five flavors taste zones thing and i never got it i could always taste everything on every part of my tongue i felt vindicated like two decades later when it came out that that was horsecrap but i cant exactly go rub it in my kindergarten teachers face can i,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
honestly my main take away is that ive been saying tinnitus wrong my whole life,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the universal hate for printers is what unites humanity,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
im just shocked and saddened that theyve ignored the most significant vacuum cleaner advance the retractable cord,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i can confirm her squirrel facts i raised an orphaned one and it was the sweetest cuddliest pet until it almost grown woke up one morning an she acted like a wild animal biting scratching trying to eat my face off it was a sad day but ive checked wanting a squirrel off my list,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i swear to god every can i have this exotic pet question can just be answered with the words do you know what domestication is and how long it takes,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
declawing cats stop calling it declawing it has nothing to do with the claws as the vet said it is amputating the toes cats have claws if you have a problem with claws dont get a cat,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
thank you for addressing declawing cats and how awful and hurtful it is to the cat,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i have a cat who was declawed by a previous owner he has so many behavioral issues that are typical of declawed cats he was just at the vet yesterday for litter box issues and the vet brought up the fact that he was declawed declawing inflicts lifelong trauma on the animal,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
exotic animals as pets should be illegal tigers dont belong in farms sugar gliders dont belong in apartments sad to see that this happens still,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
askgcntech after two years of running tubes i finally went tubeless a couple of months ago i managed to puncture my tyre the other day sealant didn’t do the trick nor did a couple of slugs even tried a patch inside the tyre the puncture was not on the sidewall and may have been 3mm large given the tire had plenty of life left i am gutted that i may have to discard the tire now when would you come to a decision that a tubeless tire is ko,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
another problem with filling tires with water is that the first bump you hit will probably cause the tire to blow off the rim water is incompressible unlike air so it has to go somewhere when the tire volume gets changed due to an impact,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
askgcntech as a heavier rider i feel i’m always in the max range of gears either hardest gear on flat’sh roads or my easiest gear when i see any sustained gradients i currently run a compact chain set with a 1230 cassette on the rear would i benefit from upping my chain set to give me more usable gears or would this just make my climbing problem even worse due to the worse range at the rear,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
when someone tells a lie deep down they know this is wrong they have no compassion,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
when you as an employee are fired from a company and the reasons they are giving you are “poor performance or lack of culture fit” trust me when i tell you the real reasons are not disclosed been there done that companies lie hr works for the company and also lies and a corporation hierarchy matters when you lawyer up is when they start taking you a bit more seriously,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
all the musk haters who said he was doing this for laughs are salty rn,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
most tech companies let things like this slide all the time…,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
karma hit twitter hard ,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
when it comes to a person journalist slander up and down when it’s a company you say they are allegations,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
“once you spend 5 to 10 grand on magic cards you kinda don’t wanna pay for them anymore” really hits home for me,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
just a note on the screw driver put some extended bits with it or a smaller precision screw driver in the set with it its very common for some screws to be deep in a hole and having those small bits into hex end wont go in far enough down the hole to extract screw i see this allot on laptops controllers that kinda thing sunk in screws suck,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
arun this product killed over a hundred people also arun 7 out of 10,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
arun this product destroyed the entirety of earth also arun 6 out of 10 fail,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
great to see you including a wider variety of stuff in these videos beyond just electronic devices especially the pharmaceutical industry if youre going to include banned medications then the top of the list in your next video should be thalidomide what it did was absolutely tragic it was banned decades ago yet people are still suffering and living with severe disabilities to this day thousands of families destroyed and lives lost too,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
there was also another problem with the fitbit when some of the straps would irritate your skin and leave a rash and still the company hasnt dealt with it yet,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
1035 this is a common misconception while part of the reason was the battery being too thin the main issue was a manufacturing defect in the corner of most of the batteries at launch which was a tiny dent in the top left corner this would cause the battery to eventually short out as the dent caused both terminals to eventually touch each other most peoples phones were exploding while fast charging which was likely due to the increased power going through the battery and lithiumion batteries do not take well to being shorted out like that edit normally defects of that scale would be perfectly fine and would never cause issues but they made the battery too thin meaning it shorted it out easier just wanted to clarify that,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
last week they said to sell it all now they say buy glad i never listen to these frauds,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
for those who are curious not only is it widely accepted that an asteroid wiped out the dinosaurs but we also know exactly where the asteroid landed its called the chicxulub crater its located on the northern coast of the yucatan peninsula and has been carbondated to have formed in that time period and it size of the crater certainly looks catastrophic enough,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the way he factually states the world is a sphere makes you feel like hes heard even weirder statements before and this is just another misconception he corrects ,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the biggest problem is colleges charging outrages tuition fees causing this to happen,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
so everyone who couldn’t afford college will have to pay for those who did……why not make college affordable in the first place,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
now we need to cap these institutions no more predatory pricing honestly these collegesuniversities should be paying back people the interest as well those who have and have not paid off their loans last 30 years included,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
regulate college tuition so that this doesn’t happen again please otherwise this will be pointless,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
when colleges knew about this watch them charge more tuition then you will know why college is expensive in the first place,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
he needs to find a way to get schools to lower their tuition rates and quit trying to game a broken student loan system this will just keep happening and its not going to stop idealistic young people from taking out massive debt on a useless degree the schools need to be regulated if they take govt funds then they should be subject to immediate regulation,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
the states deregulated tuition and fees so the colleges could charge more then they used that money to hire more administrators and build more buildings the students are not just paying for their education they are also paying for all the things the colleges wanted but the states did not want to give them money for nobody talks about that,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
there is no such thing as loan cancellation its merely a transfer do people not understand how this works,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
im trying to hold onto hope and positivity for new york state but every year it gets harder and harder,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
nadler shouldnt be allowed to drive much less wield power,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
funny how democrats always choose the old white man lol,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
a population of mass psychosis,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
it never matter how win the question is is the state is any better under either politicians all politicians are very corrupt,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
ny democrats never cease to amaze me…picking the absolute worst representatives possible thanks jim eagle,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i feel for civilians that just want to live a peaceful normal life in ukraine,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
to be clear its not alleged war crimes they have tried and convicted people for them already so yes war crimes are being committed in ukraine just because you dont like saying it doesnt change that its actually happening to the people it affects,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i whole heartedly agree with the guy from nato who was saying that europe and the us will pay a high price this winter for supporting ukraine this winter but not supporting them will cost us even more the biggest threat to ukraine right now is that the rest of us will lose interest and abandon them ukraine needs to get all their territory back or russia is just going to eat them in bites and then they will move to the next nation that they want to add back to the soviet union,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
happy independence day to ukraine and glory  the reason why i support ukraine because i’m human and i support human rights and if ukraine surrenders there will be no more ukraine and it won’t save lives it will only end up in a brutal occupation like bucha irpin and mariupol massacre the main goal of russia is that they want to destroy ukraine as a nation just like rome destroyed carthage russians don’t treat ukrainians as people,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
do you remember what happens when we give unaccounted money and weapons to countries to fight proxy wars we keep making the same mistakes over and over,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
notice how the guy calling in keeps saying we in regards to ukraine weird,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
our government should be held accountable for the pointless expense on this war they already have genocidal turkey helping them and they will still lose at the end all this money could have gone to peoplegovernment took 6 months with vacations to send us measly dimes during covidbut billions they send at a whim,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i hate to say it but i don’t think the ukrainians are going to be able to counter attack remember ukraine uses 5000 artillery shells a day russia on the other hand is using 500000 shells a day russia has the most tanks in world there isn’t a shortage of there wasn’t a shortage then how come luhansk has fallen let’s not get ahold of ourselves,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
saddakur incoming when he can’t deliver the sheer overconfidence they project as underdogs is off putting not in touch with reality,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
russia is being beaten at highspeed attrition warfare it is alarming how russia is throwing away its best lives and equipment  victory to ukraine ,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
always remember this you cant operate an army without supply trucks also fuel trucks destroy or capture all russian trucks 1 are they armored no 2 do they have heavy weapons on them no 3 is a army truck driver a high skilled soldier no 4 puncture truck tires or damage the engines,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
to be good at something you got to be doing it all the time why do you think the americans are so good at war,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
happy independence day to ukraine and glory  the reason why i support ukraine because i’m human and i support human rights and if ukraine surrenders there will be no more ukraine and it won’t save lives it will only end up in a brutal occupation like bucha irpin and mariupol massacre the main goal of russia is that they want to destroy ukraine as a nation just like rome destroyed carthage russians don’t treat ukrainians as people,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
as a former combat planner in vietnam i agree with general hodges putins attrition strategy is not well thought out firstly they dont have the right equipment manpower or time ukraine has all of that except for equipment in sufficient quantities over time the wests resources will help ukraine fill that gap,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
europe is forever in debt for the bravery of ukraine hopefully russia shall pay to rebuild ukraina slava,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i feel like i’m in a simulation at this point,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i got 25 seconds in and already call bullsht i paused the video to comment but started reading other comments i was amazed because every comment shows disdain for our media including cbs news smh caused me to forget my original and now meaningless thought,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
is he just hiding documents in doughnut boxes im so confused,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
being a politician should not be a career choice term limits for everyone,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
term limits is a must tired of these crooked cryptic politicians retire,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
whats shocking is how many people like this guy pretty disgusting,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
hes more detached from the people he represents then any representative in us history,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
all of this does nothing to correct the problem of high college tuition schools will continue to leverage off government loans and at the same time increase tuition to pay for their exorbitant pensions the cycle continues,negative,medium,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
i didnt realize up to 250k per family is consider low income people making way less than that will be paying for his forgiveness plan this administration is insane,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
everyone knows money doesnt mean anything anymore unless you have some the govt can take,negative,low,Linguagem negativa; Referência a taxas/limitações,don’t even have; high fees,O comentário expressa frustração e aponta custos/limitações.
