orig_index,Comment,clean_text,dup_near_group,near_duplicate_of
966,one of the best thing about this dude is that he never takes credit of his own accomplishments he always respects his audience and his teams and he is polite in all of his videos we congratulate ourselves on our accomplishments this video is so amazing,one of the best thing about this dude is that he never takes credit of his own accomplishments he always respects his audience and his teams and he is polite in all of his videos we congratulate ourselves on our accomplishments this video is so amazing,29,966
968,one of the best thing about this dude is that he never takes credit of his own accomplishments he always respects his audience and his teams and he is polite in all of his videos we congratulate ourselves on our accomplishments this video is so amazing,one of the best thing about this dude is that he never takes credit of his own accomplishments he always respects his audience and his teams and he is polite in all of his videos we congratulate ourselves on our accomplishments this video is so amazing,29,966
969,one of the best thing about this dude is that he never takes credit of his own accomplishments he always respects his audience and his teams and he is polite in all of his videos we congratulate ourselves on our accomplishments this video is so amazing,one of the best thing about this dude is that he never takes credit of his own accomplishments he always respects his audience and his teams and he is polite in all of his videos we congratulate ourselves on our accomplishments this video is so amazing,29,966
970,one of the best thing about dude is that he never takes credit for himself when he achieves something he always respect us the audience and his team and he is polite in all his videos we congratulate ourselves on this achievement more to come,one of the best thing about dude is that he never takes credit for himself when he achieves something he always respect us the audience and his team and he is polite in all his videos we congratulate ourselves on this achievement more to come,30,970
972,so we can all agree that this man never disappoint us with his videos,so we can all agree that this man never disappoint us with his videos,31,972
973,so we can all agree that this man never disappoint us with his videos,so we can all agree that this man never disappoint us with his videos,31,972
985,ilets all appreciate the amount of effort this man puts in his videos amazing keep grinding bro i love the videos,ilets all appreciate the amount of effort this man puts in his videos amazing keep grinding bro i love the videos,27,895
987,the skins just got released and hes the first one who ive seen that have it love this content him and other fortnite youtubers make,the skins just got released and hes the first one who ive seen that have it love this content him and other fortnite youtubers make,32,987
992,the skins just got released and hes the first one who ive seen that have it love this content him and other fortnite youtubers make,the skins just got released and hes the first one who ive seen that have it love this content him and other fortnite youtubers make,32,987
1005,5317 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,5317 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,22,864
1006,one of the best thing about dude is that he never takes credit for himself when he achieves something he always respect us the audience and his team and he is polite in all his videos congratulation ourselves on this achievement more to,one of the best thing about dude is that he never takes credit for himself when he achieves something he always respect us the audience and his team and he is polite in all his videos congratulation ourselves on this achievement more to,33,1006
1007,one of the best thing about dude is that he never takes credit for himself when he achieves something he always respect us the audience and his team and he is polite in all his videos congratulation ourselves on this achievement more to,one of the best thing about dude is that he never takes credit for himself when he achieves something he always respect us the audience and his team and he is polite in all his videos congratulation ourselves on this achievement more to,33,1006
1008,2248 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,2248 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,34,1008
1009,1729 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,1729 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,35,1009
1010,1032 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,1032 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,35,1009
1011,3928 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,3928 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,34,1008
1012,3121 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,3121 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,22,864
1021,,nan,17,602
1023,,nan,17,602
1041,,nan,17,602
1052,5230 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,5230 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,36,1052
1077,very relaxing video it helped me sleep,very relaxing video it helped me sleep,37,1077
1091,නොදැක්කා වගේ යන්න එපා මම බල කරන්නේ නැ ඔයාගේ හිත හොදනම් මගේ චැනල් එක subcribe කරන්න ,නොදැක්කා වගේ යන්න එපා මම බල කරන්නේ නැ ඔයාගේ හිත හොදනම් මගේ චැනල් එක subcribe කරන්න,38,1091
1092,නොදැක්කා වගේ යන්න එපා මම බල කරන්නේ නැ ඔයාගේ හිත හොදනම් මගේ චැනල් එක subcribe කරන්න ,නොදැක්කා වගේ යන්න එපා මම බල කරන්නේ නැ ඔයාගේ හිත හොදනම් මගේ චැනල් එක subcribe කරන්න,38,1091
1094,,nan,17,602
1133,nice bro,nice bro,39,1133
1150,midnight fight express ,midnight fight express,40,1150
1155,midnight fight express ,midnight fight express,40,1150
1157,1930 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,1930 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,34,1008
1159,2636 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,2636 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,34,1008
1166,what should we do next,what should we do next,41,1166
1218,hi anh,hi anh,42,1218
1221,hi anh,hi anh,42,1218
1222,hi anh,hi anh,42,1218
1225,hi anh,hi anh,42,1218
1226,2737 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,2737 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,22,864
1227,4157 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,4157 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,36,1052
1230,2111 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,2111 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,34,1008
1231,3545 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,3545 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,34,1008
1232,3229 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,3229 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,22,864
1244,love it,love it,43,1244
1246,time stamps 000 intro 141 tactical 316 obama 344 echo 404 coffee 652 popsicle 747 bagel 818 bagel again 840 sonic 1205 purple 1522 cupcake 1644 chocolate 1704 coconut 1913 outro,time stamps 000 intro 141 tactical 316 obama 344 echo 404 coffee 652 popsicle 747 bagel 818 bagel again 840 sonic 1205 purple 1522 cupcake 1644 chocolate 1704 coconut 1913 outro,44,1246
1247,first time getting into watching the asmr gaming kinda videos been into asmr things for about 5years idk why i havent watched these sooner this was actually super enjoyable and entertaining to watch hell yea loved it,first time getting into watching the asmr gaming kinda videos been into asmr things for about 5years idk why i havent watched these sooner this was actually super enjoyable and entertaining to watch hell yea loved it,45,1247
1248,i love how he randomly used obama as a trigger word ,i love how he randomly used obama as a trigger word,46,1248
1249,that tactical one just hits home man like its crazy,that tactical one just hits home man like its crazy,47,1249
1250,sometimes i come here to sleep sometimes i come here for commentary sometimes i come here for gameplay you really have it all and i love watching someone who’s passionate abt what they do and is as much of a geek as i am keep up the incredible work d,sometimes i come here to sleep sometimes i come here for commentary sometimes i come here for gameplay you really have it all and i love watching someone who’s passionate abt what they do and is as much of a geek as i am keep up the incredible work d,48,1250
1251,very relaxing video it helped me sleep,very relaxing video it helped me sleep,37,1077
1252,hello asmr gaming news love ur videoskeep it up,hello asmr gaming news love ur videoskeep it up,49,1252
1253,the words that agn says with 3 syllables just hit different like tactical and coconut ,the words that agn says with 3 syllables just hit different like tactical and coconut,50,1253
1254,hi could you try to make a video in french its my language thanks in advance and keep up the good work ps your videos are very relaxing ,hi could you try to make a video in french its my language thanks in advance and keep up the good work ps your videos are very relaxing,51,1254
1255,very relaxing video it helps me sleep and relax,very relaxing video it helps me sleep and relax,52,1255
1296,team jesus  comment down below if your on his winning team ,team jesus comment down below if your on his winning team,53,1296
1344,2323 hermosa elección likexxxuno los mortales abian apreciado tan hermosa mujer 1010 hopi sweeter 1112 sun hotter 0018 joonie cooler 1800 yoongy butter 2321 son unos de los mejores conciertos mañas no se la tqzl las elecciones cinematográficas y artísticas son brillantes referencias culturales europeas realmente interesantes ojalá la cultura europea se representara más a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminación genial,2323 hermosa elección likexxxuno los mortales abian apreciado tan hermosa mujer 1010 hopi sweeter 1112 sun hotter 0018 joonie cooler 1800 yoongy butter 2321 son unos de los mejores conciertos mañas no se la tqzl las elecciones cinematográficas y artísticas son brillantes referencias culturales europeas realmente interesantes ojalá la cultura europea se representara más a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminación genial,54,1344
1476,team jesus  comment down below if your on his winning team ,team jesus comment down below if your on his winning team,53,1296
1552,2323 hermosa elección babes18kissxuno los mortales abian apreciado tan hermosa mujer 1010 hopi sweeter 1112 sun hotter 0018 joonie cooler 1800 yoongy butter 2323 son unos de los mejores conciertos mañas no se la las elecciones cinematográficas y artísticas son brillantes referencias culturales europeas realmente interesantes ojalá la cultura europea se representara más a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminación genia,2323 hermosa elección babes18kissxuno los mortales abian apreciado tan hermosa mujer 1010 hopi sweeter 1112 sun hotter 0018 joonie cooler 1800 yoongy butter 2323 son unos de los mejores conciertos mañas no se la las elecciones cinematográficas y artísticas son brillantes referencias culturales europeas realmente interesantes ojalá la cultura europea se representara más a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminación genia,55,1552
1560,bro the random dog on the soccer field stopping the goal like he’s airbud has me in tears ,bro the random dog on the soccer field stopping the goal like he’s airbud has me in tears,56,1560
1562,bro the random dog on the soccer field stopping the goal like he’s airbud has me in tears ,bro the random dog on the soccer field stopping the goal like he’s airbud has me in tears,56,1560
1587,fighting 85 inflation more like 35 with a 1 fed funds interest rate is like stopping a forest fire with a bucket of water folks prepare accordingly make investment in other not to depend on the government for funds,fighting 85 inflation more like 35 with a 1 fed funds interest rate is like stopping a forest fire with a bucket of water folks prepare accordingly make investment in other not to depend on the government for funds,57,1587
1611,team jesus  comment down below if your on his winning team ,team jesus comment down below if your on his winning team,53,1296
1662,can we get a second season of all or nothing with arsenal i would love to see how players are reacting behind the scenes,can we get a second season of all or nothing with arsenal i would love to see how players are reacting behind the scenes,58,1662
1669,can we get a second season of all or nothing with arsenal i would love to see how players are reacting behind the scenes,can we get a second season of all or nothing with arsenal i would love to see how players are reacting behind the scenes,58,1662
1841,have a damn good day,have a damn good day,59,1841
1866,successful people dont become that way overnight what most people see at a glancewealth a great career purposeis the result of hard work and hustle over time i pray that anyone who reads this will be successful in life,successful people dont become that way overnight what most people see at a glancewealth a great career purposeis the result of hard work and hustle over time i pray that anyone who reads this will be successful in life,60,1866
1881,have a damn good day,have a damn good day,59,1841
1927,this is the first video ive saw before i started cooking more frecuently thanks gordon youre a great teacher,this is the first video ive saw before i started cooking more frecuently thanks gordon youre a great teacher,61,1927
1928,this is the first video ive saw before i started cooking more frecuently thanks gordon youre a great teacher,this is the first video ive saw before i started cooking more frecuently thanks gordon youre a great teacher,61,1927
1992,5842 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,5842 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,34,1008
1993,3452 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,3452 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative,34,1008
2099,cool,cool,12,167
2161,jimmy is one of the only people who can say “i want to achieve the impossible” and make it sound completely normal,jimmy is one of the only people who can say “i want to achieve the impossible” and make it sound completely normal,62,2161
2163,can we all just appreciate and thank jimmy for making good videos especially when some people are going through some hard times,can we all just appreciate and thank jimmy for making good videos especially when some people are going through some hard times,63,2163
2169,jimmy is one of the only people who can say “i want to achieve the impossible” and make it sound completely normal,jimmy is one of the only people who can say “i want to achieve the impossible” and make it sound completely normal,62,2161
2170,huge props to the set designers everything was spot on,huge props to the set designers everything was spot on,64,2170
2180,heres a handy stepbystep guide for you to better navigate the tutorial stepbystep 0000 introduction 0306 step 1 make the daisy 0447 step 2 create the white cross 0632 how to hold the cube 0810 step 3 solve the bottom layer 1220 step 4 solve the second layer 1457 step 5 create the yellow cross 1506 cube notation 1735 step 6 solve the yellow face 1910 step 7 position the corners 2146 step 8 position the edges and check out the printable text version at wiredcom,heres a handy stepbystep guide for you to better navigate the tutorial stepbystep 0000 introduction 0306 step 1 make the daisy 0447 step 2 create the white cross 0632 how to hold the cube 0810 step 3 solve the bottom layer 1220 step 4 solve the second layer 1457 step 5 create the yellow cross 1506 cube notation 1735 step 6 solve the yellow face 1910 step 7 position the corners 2146 step 8 position the edges and check out the printable text version at wiredcom,65,2180
2181,1 wrong move and its all gone,1 wrong move and its all gone,66,2181
2182,i finally solved this cube after i’ve been having it for 4 years july 25 2022 thank you so much for being an amazing guide for this cube robbie,i finally solved this cube after i’ve been having it for 4 years july 25 2022 thank you so much for being an amazing guide for this cube robbie,67,2182
2183,thank you i used this video when i started cubing now i’m down to 11 seconds as my best time with at least a year of practice i now average about 19 seconds and love speed solving,thank you i used this video when i started cubing now i’m down to 11 seconds as my best time with at least a year of practice i now average about 19 seconds and love speed solving,68,2183
2184,even though it took me a whole lot of practicing to achieve i am so glad to inform you that i can now solve the cubes without the video thanks to you,even though it took me a whole lot of practicing to achieve i am so glad to inform you that i can now solve the cubes without the video thanks to you,69,2184
2185,yellow cross 1650 finish yellow face 1805 corners 1935 edges move edges left 2225 move edges right 2247 if none is solved 2313,yellow cross 1650 finish yellow face 1805 corners 1935 edges move edges left 2225 move edges right 2247 if none is solved 2313,70,2185
2186,15 tries 3 meltdowns and 1 cry of happiness later i have officially solved my first rubiks cube,15 tries 3 meltdowns and 1 cry of happiness later i have officially solved my first rubiks cube,71,2186
2187,this tutorial is the greatest there ever was we got our son a rubix cube for his birthday and we have been working on solving this and it finnally paid off solved the cube because of this tutorial and it was glorious,this tutorial is the greatest there ever was we got our son a rubix cube for his birthday and we have been working on solving this and it finnally paid off solved the cube because of this tutorial and it was glorious,72,2187
2188,you are genuinely a great teacher i finally solved my first rubik’s cube at age 47 after so many years of frustrations now i can teach my 7 year old son,you are genuinely a great teacher i finally solved my first rubik’s cube at age 47 after so many years of frustrations now i can teach my 7 year old son,73,2188
2189,finally got it solved my very first time solving a rubik’s cube thank you so much for this video,finally got it solved my very first time solving a rubik’s cube thank you so much for this video,74,2189
2194,thank you,thank you,75,2194
2198,thanks,thanks,76,2198
2225,i love this song,i love this song,77,2225
2231,i love this song,i love this song,77,2225
2241,i love his voice ,i love his voice,78,2241
2290, get your bonus,get your bonus,79,2290
2301, get your bonus,get your bonus,79,2290
2335,i read about a man in his 50s that started investing in stocks then retired in 2years with over 6million that right there is my utmost goal and id really appreciate clues and tips on how to reach this goal within 5years,i read about a man in his 50s that started investing in stocks then retired in 2years with over 6million that right there is my utmost goal and id really appreciate clues and tips on how to reach this goal within 5years,80,2335
2344,to reach your potential you need to start working towards it investing remains the smartest way to prepare for the unexpected been in the space for 6yrs and extremely pleased with the decision i made the good news is its not too late,to reach your potential you need to start working towards it investing remains the smartest way to prepare for the unexpected been in the space for 6yrs and extremely pleased with the decision i made the good news is its not too late,81,2344
2350,great video but let me talk about something important i see many young and old make mistakes that i think should not be i believe that everyone young or old should have an investment plan that increases their financial returns from three figures to six figures the investment can be your retirement plan or future plan depending on what you want but what matters most is that you have an investment that is profitable,great video but let me talk about something important i see many young and old make mistakes that i think should not be i believe that everyone young or old should have an investment plan that increases their financial returns from three figures to six figures the investment can be your retirement plan or future plan depending on what you want but what matters most is that you have an investment that is profitable,82,2350
2368,successful people dont become that way overnight what most people see at a glancewealth a great career purposeis the result of hard work and hustle over time i pray that anyone who reads this will be successful in life,successful people dont become that way overnight what most people see at a glancewealth a great career purposeis the result of hard work and hustle over time i pray that anyone who reads this will be successful in life,60,1866
2424,every family has a person who breaks the chain of poverty i hope you will be that person,every family has a person who breaks the chain of poverty i hope you will be that person,83,2424
2443,,nan,17,602
2445,nice,nice,84,2445
2450,successful people dont become that way overnight what most people see at a glancewealth a great career purposeis the result of hard work and hustle over time i pray that anyone who reads this will be successful in life,successful people dont become that way overnight what most people see at a glancewealth a great career purposeis the result of hard work and hustle over time i pray that anyone who reads this will be successful in life,60,1866
2463,“the best way to measure your investing success is not by whether you’re beating the market but by whether you’ve put in place a financial plan and a behavioral discipline that are likely to get you where you want to go”,“the best way to measure your investing success is not by whether you’re beating the market but by whether you’ve put in place a financial plan and a behavioral discipline that are likely to get you where you want to go”,85,2463
2468,every family has a person who breaks the chain of poverty i hope you will be that person,every family has a person who breaks the chain of poverty i hope you will be that person,83,2424
2474,great video but let me talk about something important i see many young and old make mistakes that i think should not be i believe that everyone young or old should have an investment plan that increases their financial returns from three figures to six figures the investment can be your retirement plan or future plan depending on what you want but what matters most is that you have an investment that is profitable,great video but let me talk about something important i see many young and old make mistakes that i think should not be i believe that everyone young or old should have an investment plan that increases their financial returns from three figures to six figures the investment can be your retirement plan or future plan depending on what you want but what matters most is that you have an investment that is profitable,82,2350
2489,after decades in gop colo sen kevin priola says ‘we need democrats in charge’,after decades in gop colo sen kevin priola says ‘we need democrats in charge’,86,2489
